track_id,vae_cluster,tsne_1,tsne_2
133544,0,-41.80499,63.35272
133545,4,1.4315102,15.664345
133546,0,-11.968983,66.41495
133551,2,-66.8147,32.165195
133553,2,-59.980286,32.966328
133560,5,6.756066,62.59917
133561,0,-23.064531,63.08229
133562,2,-46.314636,19.65214
133563,6,3.3753464,-75.20202
133564,2,-60.807503,19.725458
133567,2,-26.857761,53.588757
133571,2,-23.389454,69.682106
133572,0,-33.377605,61.89863
133573,4,24.436197,54.527397
133574,4,30.542952,68.22779
133576,2,-51.968853,30.696453
133579,2,-64.949875,34.140305
133580,2,-22.302866,66.8797
133632,3,-21.709023,-1.8429492
133638,0,-10.384449,63.864056
133639,0,-2.0284262,48.470554
133681,0,-6.108746,39.182316
133729,3,-17.63164,-24.90269
133731,3,-20.371403,-57.303112
133770,3,-48.78721,-49.365685
133772,3,-22.06336,-56.04682
133780,0,-18.60335,61.22083
133781,6,-23.581335,-21.703552
133788,3,-21.353691,-0.67983437
133793,0,10.688084,44.59076
133798,1,36.734516,-2.520567
133802,0,-6.461954,26.64793
133803,1,32.745045,-2.2990417
133833,2,-37.88637,44.926643
133835,0,-2.3562353,39.22059
133836,4,7.9514623,35.829334
133837,0,-2.907072,38.668056
133838,4,27.39164,67.979256
133916,5,0.39756233,-21.705448
133942,5,5.388421,55.587914
133943,2,-33.46866,-5.5394506
133967,2,-19.519476,53.580517
133968,6,19.90289,-57.259605
133969,2,-14.9107065,2.7038953
133970,2,-55.40091,30.478962
133971,2,-64.228714,35.41434
133972,4,22.64846,13.97902
133973,0,-22.31611,32.12022
133974,0,-22.399519,24.141657
133975,2,-62.058975,34.516945
133976,6,-9.189376,-66.88075
133977,5,-9.867475,-2.8333127
133978,3,-16.76229,-23.327124
134034,1,21.678276,-9.100496
134052,6,33.902798,-56.025375
134053,6,18.066357,-60.280334
134054,6,16.40775,-70.93625
134073,3,-61.08058,12.20962
134077,2,-29.203072,-2.3057337
134084,2,-37.65586,0.68088436
134094,6,9.623279,-70.35472
134359,3,-47.264065,-9.986315
134384,3,-24.935406,-46.84434
134385,6,30.728079,-67.78722
134388,2,-21.78385,26.938454
134389,6,22.784641,-60.368507
134443,2,-6.85827,14.014335
134444,2,21.441198,9.553996
134445,4,21.201218,8.7104025
134446,5,43.577843,26.103788
134447,0,-23.84482,7.6479654
134448,5,58.37017,18.509203
134449,6,11.235886,0.13649954
134452,2,-52.10705,6.7718754
134453,2,-24.860317,48.824
134454,2,-49.501606,13.247611
134455,2,-55.792747,-11.253791
134486,2,-6.946388,10.681343
134509,0,2.8139005,-28.285158
134510,6,62.769264,-30.63699
134580,2,-54.472767,34.051495
134586,2,-67.30734,32.389545
134594,2,-62.244778,15.322594
134610,1,54.696613,-24.959557
134631,3,-37.06892,-46.93578
134643,1,56.202644,-18.582167
134790,6,6.0020876,-39.10398
134791,0,-49.214737,50.393356
134792,4,18.41469,17.607176
134793,0,-33.827885,63.288418
134794,5,12.127201,-11.516321
134795,0,6.3601294,37.111996
134796,6,27.665352,-48.401127
134797,5,-10.346653,-9.406009
134801,5,-6.7559047,-13.043487
134823,5,-1.0301942,-18.47122
134824,5,52.4719,32.61964
134825,5,21.952772,-26.882841
134826,5,28.469036,16.713215
134827,1,49.403,0.18977825
134918,6,-7.552284,-68.23786
134919,6,9.192731,-66.81287
134922,2,-48.97959,12.206997
134923,6,15.980712,-60.2908
134928,6,26.211477,-66.07441
134929,6,-12.510202,-64.626656
134930,6,18.904785,-68.71394
134931,3,-22.534374,-54.952694
134932,6,-14.054971,-64.62917
134933,3,-34.02348,-56.205696
134934,6,-13.995665,-49.4065
